# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ctrl01;585;2022-05-09 08:40:02 UTC;-1;1.14;0.00;1.29;0.05;0.00;97.52
ctrl01;590;2022-05-09 08:50:01 UTC;-1;0.19;0.00;0.25;0.00;0.00;99.55
ctrl01;590;2022-05-09 09:00:01 UTC;-1;0.36;0.00;0.45;0.00;0.00;99.18
ctrl01;588;2022-05-09 09:10:01 UTC;-1;0.35;0.00;0.42;0.00;0.00;99.22
ctrl01;587;2022-05-09 09:20:02 UTC;-1;0.56;0.00;0.59;0.01;0.00;98.84
ctrl01;589;2022-05-09 09:30:01 UTC;-1;0.46;0.00;0.45;0.00;0.00;99.09
ctrl01;590;2022-05-09 09:40:01 UTC;-1;0.92;0.00;0.87;0.01;0.00;98.20
ctrl01;590;2022-05-09 09:50:01 UTC;-1;0.93;0.00;1.08;0.00;0.00;97.98
ctrl01;583;2022-05-09 10:00:01 UTC;-1;1.27;0.00;1.04;0.01;0.00;97.68
ctrl01;579;2022-05-09 10:10:01 UTC;-1;1.54;0.00;1.13;0.00;0.00;97.33
ctrl01;590;2022-05-09 10:20:01 UTC;-1;0.33;0.02;0.75;0.01;0.00;98.89
ctrl01;588;2022-05-09 10:30:01 UTC;-1;1.03;0.00;0.86;0.00;0.00;98.11
ctrl01;581;2022-05-09 10:40:01 UTC;-1;1.40;0.00;1.09;0.00;0.00;97.51
ctrl01;590;2022-05-09 10:50:02 UTC;-1;0.35;0.00;0.41;0.01;0.00;99.24
ctrl01;586;2022-05-09 11:00:01 UTC;-1;2.09;0.00;1.50;0.07;0.00;96.35
ctrl01;589;2022-05-09 11:10:01 UTC;-1;0.32;0.00;0.32;0.00;0.00;99.36
ctrl01;590;2022-05-09 11:20:01 UTC;-1;0.36;0.00;0.39;0.01;0.00;99.24
ctrl01;590;2022-05-09 11:30:02 UTC;-1;0.34;0.00;0.31;0.00;0.00;99.35
ctrl01;590;2022-05-09 11:40:01 UTC;-1;0.28;0.00;0.31;0.00;0.00;99.40
ctrl01;589;2022-05-09 11:50:01 UTC;-1;0.56;0.00;0.58;0.01;0.00;98.85
ctrl01;582;2022-05-09 12:00:01 UTC;-1;1.39;0.00;1.25;0.01;0.00;97.36
ctrl01;584;2022-05-09 12:10:02 UTC;-1;1.30;0.00;1.04;0.01;0.00;97.65
ctrl01;582;2022-05-09 12:20:01 UTC;-1;1.56;0.00;1.17;0.00;0.00;97.27
ctrl01;590;2022-05-09 12:30:01 UTC;-1;0.52;0.00;0.61;0.01;0.00;98.87
ctrl01;587;2022-05-09 12:40:01 UTC;-1;0.92;0.00;0.76;0.01;0.00;98.31
ctrl01;582;2022-05-09 12:50:02 UTC;-1;1.21;0.00;1.09;0.01;0.00;97.70
ctrl01;589;2022-05-09 13:00:01 UTC;-1;0.57;0.00;0.67;0.00;0.00;98.76
ctrl01;590;2022-05-09 13:10:01 UTC;-1;0.52;0.00;0.50;0.01;0.00;98.97
ctrl01;590;2022-05-09 13:20:02 UTC;-1;0.42;0.00;0.41;0.00;0.00;99.16
ctrl01;588;2022-05-09 13:30:01 UTC;-1;0.89;0.52;1.30;0.01;0.00;97.28
ctrl01;582;2022-05-09 13:40:01 UTC;-1;1.98;0.00;1.75;0.04;0.00;96.23
ctrl01;581;2022-05-09 13:50:01 UTC;-1;1.72;0.00;1.37;0.00;0.00;96.91
ctrl01;590;2022-05-09 14:00:01 UTC;-1;0.27;0.00;0.41;0.01;0.00;99.32
ctrl01;580;2022-05-09 18:50:03 UTC;-1;0.42;0.00;0.51;0.00;0.00;99.07
ctrl01;576;2022-05-09 19:00:01 UTC;-1;0.40;0.00;0.39;0.00;0.00;99.21
ctrl01;573;2022-05-09 19:10:03 UTC;-1;0.36;0.00;0.38;0.00;0.00;99.25
ctrl01;578;2022-05-09 19:20:05 UTC;-1;0.33;0.00;0.34;0.00;0.00;99.32
ctrl01;566;2022-05-09 19:30:04 UTC;-1;0.41;0.00;0.33;0.00;0.00;99.26
ctrl01;564;2022-05-09 19:40:05 UTC;-1;0.33;0.00;0.32;0.00;0.00;99.35
ctrl01;569;2022-05-09 19:50:01 UTC;-1;0.34;0.00;0.38;0.00;0.00;99.27
ctrl01;557;2022-05-09 20:00:04 UTC;-1;1.16;0.00;1.13;0.05;0.00;97.66
ctrl01;565;2022-05-09 20:10:04 UTC;-1;0.36;0.00;0.37;0.00;0.00;99.27
ctrl01;555;2022-05-09 20:20:03 UTC;-1;0.36;0.00;0.31;0.00;0.00;99.33
ctrl01;567;2022-05-09 20:30:06 UTC;-1;0.29;0.00;0.32;0.00;0.00;99.39
ctrl01;553;2022-05-09 20:40:01 UTC;-1;0.28;0.00;0.29;0.01;0.00;99.42
ctrl01;561;2022-05-09 20:50:06 UTC;-1;0.26;0.00;0.27;0.00;0.00;99.46
ctrl01;554;2022-05-09 21:00:04 UTC;-1;0.27;0.00;0.30;0.00;0.00;99.43
ctrl01;565;2022-05-09 21:10:06 UTC;-1;0.30;0.00;0.34;0.00;0.00;99.36
ctrl01;556;2022-05-10 07:50:03 UTC;-1;4.11;0.22;3.17;0.09;0.00;92.42
ctrl01;555;2022-05-10 08:00:05 UTC;-1;0.23;0.00;0.45;0.00;0.00;99.32
ctrl01;557;2022-05-10 08:10:04 UTC;-1;0.36;0.00;0.38;0.01;0.00;99.25
ctrl01;558;2022-05-10 08:20:07 UTC;-1;0.79;0.00;0.76;0.05;0.00;98.40
ctrl01;548;2022-05-10 08:30:03 UTC;-1;0.45;0.00;0.45;0.00;0.00;99.10
ctrl01;558;2022-05-10 08:40:05 UTC;-1;0.67;0.00;0.66;0.00;0.00;98.67
ctrl01;565;2022-05-10 08:50:06 UTC;-1;0.46;0.00;0.42;0.00;0.00;99.11
ctrl01;547;2022-05-10 09:00:05 UTC;-1;0.81;0.00;0.76;0.01;0.00;98.42
ctrl01;556;2022-05-10 09:10:06 UTC;-1;1.28;0.00;1.02;0.02;0.00;97.69
ctrl01;552;2022-05-10 09:20:01 UTC;-1;1.54;0.00;0.96;0.01;0.00;97.48
ctrl01;554;2022-05-10 09:30:04 UTC;-1;0.29;0.00;0.36;0.00;0.00;99.35
ctrl01;572;2022-05-10 09:40:06 UTC;-1;0.48;0.00;0.50;0.00;0.00;99.02
ctrl01;544;2022-05-10 09:50:01 UTC;-1;1.48;0.00;1.14;0.01;0.00;97.37
ctrl01;538;2022-05-10 10:00:05 UTC;-1;2.40;0.00;1.55;0.02;0.00;96.03
ctrl01;554;2022-05-10 10:10:07 UTC;-1;1.09;0.00;0.80;0.01;0.00;98.11
ctrl01;550;2022-05-10 10:20:03 UTC;-1;0.89;0.00;0.77;0.00;0.00;98.33
ctrl01;554;2022-05-10 10:30:05 UTC;-1;0.54;0.00;0.50;0.00;0.00;98.96
ctrl01;566;2022-05-10 10:40:07 UTC;-1;0.56;0.00;0.52;0.01;0.00;98.91
ctrl01;548;2022-05-10 10:50:02 UTC;-1;0.72;0.05;1.04;0.01;0.00;98.19
ctrl01;563;2022-05-10 11:00:06 UTC;-1;1.01;0.00;0.84;0.01;0.00;98.14
ctrl01;564;2022-05-10 11:10:01 UTC;-1;0.57;0.00;0.47;0.00;0.00;98.95
ctrl01;542;2022-05-10 11:20:03 UTC;-1;1.35;0.00;1.04;0.00;0.00;97.61
ctrl01;554;2022-05-10 11:30:06 UTC;-1;0.91;0.00;0.78;0.00;0.00;98.31
ctrl01;566;2022-05-10 11:40:01 UTC;-1;0.27;0.00;0.32;0.00;0.00;99.41
ctrl01;552;2022-05-10 11:50:04 UTC;-1;1.01;0.00;0.81;0.00;0.00;98.17
ctrl01;561;2022-05-10 12:00:06 UTC;-1;1.11;0.00;0.78;0.00;0.00;98.11
ctrl01;562;2022-05-10 12:10:01 UTC;-1;0.36;0.00;0.39;0.01;0.00;99.24
ctrl01;555;2022-05-10 12:20:01 UTC;-1;0.38;0.00;0.43;0.00;0.00;99.19
ctrl01;560;2022-05-10 12:30:06 UTC;-1;1.09;0.00;0.81;0.01;0.00;98.10
ctrl01;555;2022-05-10 12:40:01 UTC;-1;2.00;0.00;1.24;0.01;0.00;96.75
ctrl01;551;2022-05-10 12:50:05 UTC;-1;1.02;0.00;0.98;0.00;0.00;98.00
ctrl01;573;2022-05-10 13:00:01 UTC;-1;0.47;0.00;0.56;0.01;0.00;98.97
ctrl01;556;2022-05-10 13:10:04 UTC;-1;0.31;0.00;0.36;0.01;0.00;99.33
ctrl01;566;2022-05-10 13:20:07 UTC;-1;0.37;0.00;0.44;0.01;0.00;99.18
ctrl01;563;2022-05-10 13:30:03 UTC;-1;60.71;0.00;30.30;0.01;0.00;8.98
ctrl01;555;2022-05-10 13:40:01 UTC;-1;57.24;0.00;22.51;0.00;0.00;20.24
ctrl01;571;2022-05-10 13:50:07 UTC;-1;0.27;0.00;0.36;0.00;0.00;99.37
ctrl01;555;2022-05-10 14:00:01 UTC;-1;0.39;0.00;0.32;0.01;0.00;99.29
ctrl01;556;2022-05-10 14:10:05 UTC;-1;0.72;0.29;1.47;0.06;0.00;97.48
ctrl01;575;2022-05-10 14:20:07 UTC;-1;0.14;0.00;0.20;0.00;0.00;99.66
ctrl01;559;2022-05-10 14:30:01 UTC;-1;0.16;0.00;0.21;0.00;0.00;99.63
ctrl01;555;2022-05-10 14:40:05 UTC;-1;0.50;0.00;0.68;0.01;0.00;98.81
ctrl01;572;2022-05-10 14:50:07 UTC;-1;0.66;0.00;0.71;0.01;0.00;98.62
ctrl01;552;2022-05-10 15:00:02 UTC;-1;0.37;0.00;0.35;0.00;0.00;99.28
ctrl01;570;2022-05-10 18:40:08 UTC;-1;0.14;0.00;0.31;0.00;0.00;99.55
ctrl01;544;2022-05-10 18:50:03 UTC;-1;0.17;0.00;0.28;0.00;0.00;99.55
ctrl01;561;2022-05-10 19:00:05 UTC;-1;0.20;0.00;0.20;0.00;0.00;99.60
ctrl01;566;2022-05-10 19:10:08 UTC;-1;0.17;0.00;0.23;0.00;0.00;99.59
ctrl01;549;2022-05-10 19:20:04 UTC;-1;0.14;0.00;0.18;0.00;0.00;99.68
ctrl01;562;2022-05-10 19:30:06 UTC;-1;0.20;0.00;0.21;0.00;0.00;99.59
ctrl01;570;2022-05-10 19:40:02 UTC;-1;0.39;0.00;0.35;0.01;0.00;99.25
ctrl01;551;2022-05-10 19:50:03 UTC;-1;0.36;0.00;0.31;0.00;0.00;99.33
ctrl01;567;2022-05-10 20:00:06 UTC;-1;0.29;0.00;0.32;0.00;0.00;99.38
ctrl01;568;2022-05-10 20:10:08 UTC;-1;0.64;0.00;0.55;0.00;0.00;98.81
ctrl01;550;2022-05-10 20:20:04 UTC;-1;0.39;0.00;0.32;0.00;0.00;99.28
ctrl01;563;2022-05-10 20:30:06 UTC;-1;0.36;0.00;0.33;0.01;0.00;99.30
ctrl01;574;2022-05-10 20:40:01 UTC;-1;0.32;0.00;0.34;0.00;0.00;99.34
ctrl01;573;2022-05-11 08:00:01 UTC;-1;0.48;0.00;0.53;0.01;0.00;98.98
ctrl01;556;2022-05-11 08:10:02 UTC;-1;1.01;0.00;1.07;0.00;0.00;97.92
ctrl01;566;2022-05-11 08:30:01 UTC;-1;0.40;0.00;0.41;0.01;0.00;99.18
ctrl01;568;2022-05-11 08:40:01 UTC;-1;1.84;0.00;0.93;0.04;0.00;97.18
ctrl01;567;2022-05-11 09:00:05 UTC;-1;1.33;0.00;0.95;0.02;0.00;97.70
ctrl01;552;2022-05-11 09:10:07 UTC;-1;1.03;0.00;1.15;0.00;0.00;97.82
ctrl01;577;2022-05-11 09:20:05 UTC;-1;0.35;0.00;0.33;0.00;0.00;99.31
ctrl01;557;2022-05-11 09:30:03 UTC;-1;0.93;0.00;1.03;0.01;0.00;98.03
ctrl01;566;2022-05-11 09:40:07 UTC;-1;1.08;0.02;1.52;0.01;0.00;97.38
ctrl01;557;2022-05-11 09:50:01 UTC;-1;1.02;0.00;1.11;0.00;0.00;97.86
ctrl01;567;2022-05-11 10:00:01 UTC;-1;0.83;0.00;0.99;0.01;0.00;98.17
ctrl01;555;2022-05-11 10:10:03 UTC;-1;1.30;0.00;1.25;0.07;0.00;97.38
ctrl01;572;2022-05-11 10:20:05 UTC;-1;0.71;0.00;0.64;0.01;0.00;98.64
ctrl01;567;2022-05-11 10:30:01 UTC;-1;0.58;0.00;0.75;0.01;0.00;98.67
ctrl01;553;2022-05-11 10:40:04 UTC;-1;1.10;0.00;1.45;0.00;0.00;97.44
ctrl01;568;2022-05-11 10:50:06 UTC;-1;2.09;0.00;1.32;0.01;0.00;96.58
ctrl01;557;2022-05-11 11:00:06 UTC;-1;2.39;0.02;1.30;0.00;0.00;96.28
ctrl01;576;2022-05-11 11:10:01 UTC;-1;0.64;0.00;0.65;0.00;0.00;98.71
ctrl01;566;2022-05-11 11:20:01 UTC;-1;2.09;0.00;1.44;0.01;0.00;96.46
ctrl01;562;2022-05-11 11:30:03 UTC;-1;1.13;0.00;0.89;0.01;0.00;97.97
ctrl01;568;2022-05-11 11:40:04 UTC;-1;0.27;0.00;0.26;0.00;0.00;99.47
ctrl01;562;2022-05-11 11:50:04 UTC;-1;0.44;0.00;0.41;0.00;0.00;99.15
ctrl01;562;2022-05-11 12:00:01 UTC;-1;2.01;0.00;1.35;0.01;0.00;96.63
ctrl01;550;2022-05-11 12:10:04 UTC;-1;2.66;0.00;1.66;0.01;0.00;95.67
ctrl01;566;2022-05-11 12:20:06 UTC;-1;1.55;0.00;1.09;0.01;0.00;97.35
ctrl01;554;2022-05-11 12:30:03 UTC;-1;2.14;0.00;1.43;0.01;0.00;96.43
ctrl01;567;2022-05-11 12:40:04 UTC;-1;1.58;0.00;1.06;0.01;0.00;97.35
ctrl01;568;2022-05-11 12:50:01 UTC;-1;1.47;0.00;1.08;0.01;0.00;97.45
ctrl01;556;2022-05-11 13:00:03 UTC;-1;1.72;0.00;1.15;0.01;0.00;97.13
ctrl01;556;2022-05-11 13:10:01 UTC;-1;3.34;0.00;2.08;0.01;0.00;94.56
ctrl01;551;2022-05-11 13:20:03 UTC;-1;3.60;0.00;2.14;0.01;0.00;94.24
ctrl01;564;2022-05-11 13:30:05 UTC;-1;0.95;0.00;0.68;0.01;0.00;98.36
ctrl01;556;2022-05-11 13:40:03 UTC;-1;1.70;0.00;1.11;0.01;0.00;97.18
ctrl01;569;2022-05-11 13:50:01 UTC;-1;1.54;0.00;1.04;0.01;0.00;97.42
ctrl01;572;2022-05-11 14:00:01 UTC;-1;0.95;0.00;0.67;0.01;0.00;98.37
ctrl01;563;2022-05-11 14:10:03 UTC;-1;1.92;0.00;1.19;0.01;0.00;96.88
ctrl01;568;2022-05-11 17:40:01 UTC;-1;1.06;0.00;0.82;0.01;0.00;98.11
ctrl01;559;2022-05-11 17:50:03 UTC;-1;1.28;0.00;1.16;0.06;0.00;97.50
ctrl01;565;2022-05-11 18:00:01 UTC;-1;1.61;0.00;1.16;0.01;0.00;97.23
ctrl01;552;2022-05-11 18:10:02 UTC;-1;2.92;0.00;1.89;0.01;0.00;95.18
ctrl01;563;2022-05-11 18:20:04 UTC;-1;0.87;0.00;0.75;0.01;0.00;98.38
ctrl01;575;2022-05-11 18:30:06 UTC;-1;0.29;0.00;0.29;0.00;0.00;99.42
ctrl01;572;2022-05-11 18:40:01 UTC;-1;0.15;0.00;0.20;0.00;0.00;99.64
ctrl01;570;2022-05-11 18:50:04 UTC;-1;0.12;0.00;0.18;0.00;0.00;99.70
ctrl01;567;2022-05-11 19:00:03 UTC;-1;0.11;0.00;0.16;0.00;0.00;99.72
ctrl01;572;2022-05-11 19:10:03 UTC;-1;0.21;0.00;0.26;0.00;0.00;99.53
ctrl01;575;2022-05-11 19:20:02 UTC;-1;0.47;0.00;0.48;0.00;0.00;99.05
ctrl01;569;2022-05-11 19:30:03 UTC;-1;1.15;0.00;0.90;0.01;0.00;97.94
ctrl01;575;2022-05-11 19:40:02 UTC;-1;1.77;0.00;1.23;0.01;0.00;97.00
ctrl01;571;2022-05-11 19:50:03 UTC;-1;1.08;0.00;0.77;0.01;0.00;98.14
ctrl01;579;2022-05-11 20:00:04 UTC;-1;0.36;0.00;0.32;0.00;0.00;99.31
ctrl01;580;2022-05-11 20:10:04 UTC;-1;0.37;0.00;0.35;0.00;0.00;99.27
ctrl01;569;2022-05-11 20:20:03 UTC;-1;0.89;0.00;1.16;0.00;0.00;97.95
ctrl01;576;2022-05-11 20:30:03 UTC;-1;0.61;0.00;0.80;0.00;0.00;98.59
ctrl01;574;2022-05-11 20:40:01 UTC;-1;0.11;0.00;0.16;0.00;0.00;99.72
ctrl01;573;2022-05-11 20:50:01 UTC;-1;0.08;0.00;0.15;0.00;0.00;99.77
